year,disasterno
2007,2007-0551
2010,2010-0088
2012,2012-0449
2008,2008-0560
1988,1988-0359
2009,2009-0379
2011,2011-0637
2006,2006-0247
2008,2008-0257
1985,1985-0272
2005,2005-0451
2011,2011-0518
1998,1998-0607
2001,2001-0405
2001,2001-0522
2004,2004-0435
2006,2006-0299
2007,2007-0380
2007,2007-0552
2008,2008-0295
2009,2009-0321
2010,2010-0484
2012,2012-0260
1998,1998-0111
1998,1998-0198
1999,1999-0229
2002,2002-0193
2005,2005-0370
2007,2007-0196
2009,2009-0176
2010,2010-0174
2010,2010-0175
2011,2011-0296
2014,2014-0122
2014,2014-0204
2015,2015-0194
2015,2015-0286
1990,1990-0018
1993,1993-0005
1998,1998-0112
2000,2000-0790
2006,2006-0255
2009,2009-0591
2014,2014-0042
1985,1985-0016
2000,2000-0539
2001,2001-0187
2001,2001-0357
2002,2002-0069
2002,2002-0286
2003,2003-0235
2004,2004-0441
2004,2004-0635
2001,2001-0320
2008,2008-0291
2006,2006-0619
2007,2007-0408
2008,2008-0527
2011,2011-0376
1998,1998-0359
2008,2008-0306
2010,2010-0275
1998,1998-0441
1999,1999-0091
2000,2000-0248
2000,2000-0662
2000,2000-0714
2001,2001-0131
2001,2001-0645
2002,2002-0463
2002,2002-0774
2007,2007-0201
2007,2007-0247
2007,2007-0278
2008,2008-0055
2008,2008-0381
2009,2009-0506
2012,2012-0548
2012,2012-0549
2012,2012-0446
2012,2012-0552
2012,2012-0488
2013,2013-0517
2013,2013-0530
2013,2013-0572
1985,1985-0166
1985,1985-0002
1985,1985-0003
1992,1992-0271
1993,1993-0126
1993,1993-0438
1994,1994-0361
1995,1995-0073
1997,1997-0083
1997,1997-0347
1998,1998-0024
1999,1999-0740
2000,2000-0067
2000,2000-0297
2000,2000-0338
2000,2000-0500
2000,2000-0652
2001,2001-0145
2001,2001-0351
2001,2001-0477
2001,2001-0566
2002,2002-0119
2002,2002-0165
2002,2002-0310
2002,2002-0880
2002,2002-0411
2002,2002-0724
2002,2002-0700
2002,2002-0793
2003,2003-0741
2003,2003-0139
2003,2003-0147
2003,2003-0210
2003,2003-0780
2003,2003-0782
2003,2003-0334
2003,2003-0468
2003,2003-0511
2004,2004-0248
2004,2004-0337
2004,2004-0448
2005,2005-0015
2005,2005-0467
2005,2005-0583
2005,2005-0716
2006,2006-0180
2006,2006-0257
2006,2006-0344
2006,2006-0546
2007,2007-0048
2007,2007-0244
2008,2008-0210
2008,2008-0304
2008,2008-0384
2008,2008-0638
2009,2009-0244
2009,2009-0405
2009,2009-0477
2010,2010-0651
2013,2013-0183
2013,2013-0142
2013,2013-0184
2013,2013-0354
2014,2014-0192
2014,2014-0491
2014,2014-0482
2005,2005-0116
1998,1998-0090
2005,2005-0073
2010,2010-0616
2006,2006-0165
2008,2008-0499
2009,2009-0544
2012,2012-0046
1989,1989-0028
2004,2004-0159
2007,2007-0633
2009,2009-0103
2010,2010-0116
2000,2000-0083
2003,2003-0742
2007,2007-0080
2007,2007-0604
2007,2007-0616
2014,2014-0066
2002,2002-0344
2007,2007-0315
1995,1995-0071
2014,2014-0458
2010,2010-0398
2011,2011-0588
1993,1993-0039
1994,1994-0218
2001,2001-0264
1995,1995-0305
1999,1999-0426
1999,1999-0593
2008,2008-0528
1999,1999-0443
2000,2000-0582
2001,2001-0361
2004,2004-0328
2005,2005-0515
2015,2015-0292
1992,1992-0213
1996,1996-0351
2001,2001-0202
2007,2007-0227
2008,2008-0648
2002,2002-0403
1983,1983-0047
2000,2000-0812
1976,1976-0147
2007,2007-0034
2007,2007-0616
2004,2004-0235
1983,1983-0148
1994,1994-0013
2002,2002-0213
1986,1986-0214
1986,1986-0216
2003,2003-0135
2000,2000-0596
2001,2001-0276
2015,2015-0282
2010,2010-0021
2012,2012-0066
2013,2013-0040
2013,2013-0524
2015,2015-0002
1983,1983-0116
1991,1991-0140
2009,2009-0660
1993,1993-0517
1991,1991-0708
1995,1995-0441
1995,1995-0444
1995,1995-0445
2000,2000-0179
1996,1996-0317
2006,2006-0225
1989,1989-0274
2013,2013-0473
1981,1981-0006
2001,2001-0028
1999,1999-0407
2012,2012-0112
2008,2008-0642
2000,2000-0446
2000,2000-0777
2001,2001-0479
