year,disasterno
2003,2003-0057
2015,2015-0093
1983,1983-0397
1984,1984-0287
2010,2010-0319
1995,1995-0109
1968,1968-0022
1984,1984-0300
1995,1995-0451
1996,1996-0252
1997,1997-0350
2002,2002-0051
1961,1961-0010
1964,1964-0050
1967,1967-0059
1969,1969-0087
1970,1970-0039
1975,1975-0055
1980,1980-0295
1980,1980-0080
1980,1980-0257
1981,1981-0275
1982,1982-0353
1982,1982-0046
1982,1982-0372
1982,1982-0379
1983,1983-0110
1984,1984-0379
1984,1984-0385
1984,1984-0387
1985,1985-0126
1986,1986-0258
1987,1987-0356
1988,1988-0086
1988,1988-0212
1988,1988-0258
1988,1988-0513
1988,1988-0530
1989,1989-0447
1989,1989-0450
1989,1989-0453
1989,1989-0115
1989,1989-0464
1990,1990-0350
1991,1991-0484
1991,1991-0499
1991,1991-0504
1991,1991-0422
1991,1991-0406
1991,1991-0776
1992,1992-0177
1992,1992-0185
1992,1992-0267
1992,1992-0066
1992,1992-0272
1992,1992-0273
1992,1992-0277
1993,1993-0099
1993,1993-0425
1993,1993-0427
1993,1993-0429
1993,1993-0193
1993,1993-0201
1995,1995-0143
1995,1995-0483
1996,1996-0274
1997,1997-0319
1997,1997-0327
1997,1997-0112
1998,1998-0016
1998,1998-0025
1998,1998-0610
1998,1998-0277
1998,1998-0611
1999,1999-0108
1999,1999-0109
1999,1999-0619
1999,1999-0435
2001,2001-0102
2001,2001-0724
2002,2002-0600
2004,2004-0415
2004,2004-0473
2005,2005-0351
2005,2005-0547
2006,2006-0466
2006,2006-0461
2007,2007-0251
2008,2008-0645
2008,2008-0378
2009,2009-0342
2010,2010-0522
2011,2011-0444
2012,2012-0176
2013,2013-0548
1972,1972-0016
1972,1972-0028
1975,1975-0021
1977,1977-0039
1987,1987-0057
2001,2001-0093
2002,2002-0829
2011,2011-0071
1977,1977-0088
1991,1991-0713
1992,1992-0061
1999,1999-0637
2006,2006-0659
2014,2014-0227
2001,2001-0434
2000,2000-0260
2013,2013-0119
1998,1998-0059
1999,1999-0739
2000,2000-0843
1972,1972-0026
1977,1977-0060
2010,2010-0686
2004,2004-0236
1971,1971-0118
1977,1977-0203
1986,1986-0187
1987,1987-0317
1999,1999-0338
1989,1989-0580
2010,2010-0430
2009,2009-0273
2010,2010-0380
1997,1997-0328
2006,2006-0438
2001,2001-0489
1974,1974-0122
1976,1976-0063
1998,1998-0106
1994,1994-0773
1995,1995-0476
2002,2002-0018
2002,2002-0186
2003,2003-0021
2007,2007-0086
2007,2007-0309
2008,2008-0176
2008,2008-0635
2010,2010-0576
2008,2008-0380
2008,2008-0420
2014,2014-0252
2001,2001-0774
1987,1987-0112
1992,1992-0008
2010,2010-0380
2001,2001-0716
1991,1991-0687
2000,2000-0464
2001,2001-0596
2001,2001-0420
2002,2002-0533
2004,2004-0454
2012,2012-0243
2014,2014-0306
1999,1999-0578
1994,1994-0632
1999,1999-0290
2001,2001-0481
2001,2001-0560
2002,2002-0217
2003,2003-0408
2004,2004-0398
2007,2007-0306
2009,2009-0261
2013,2013-0217
1979,1979-0260
1983,1983-0111
1974,1974-0057
2005,2005-0415
1993,1993-0058
2013,2013-0410
2001,2001-0473
2000,2000-0361
2001,2001-0654
2005,2005-0315
2006,2006-0211
2003,2003-0520
2011,2011-0070
1988,1988-0474
1997,1997-0353
2002,2002-0211
2005,2005-0391
2008,2008-0285
1967,1967-0060
2003,2003-0231
2008,2008-0264
1975,1975-0015
1979,1979-0033
1983,1983-0057
2007,2007-0151
2007,2007-0655
2015,2015-0217
2003,2003-0117
1977,1977-0201
2013,2013-0428
1993,1993-0585
2012,2012-0120
2007,2007-0080
1963,1963-0012
2006,2006-0223
2010,2010-0068
1993,1993-0143
2005,2005-0576
1997,1997-0049
1964,1964-0070
1995,1995-0045
2004,2004-0502
2005,2005-0585
2006,2006-0566
2009,2009-0238
2012,2012-0185
2005,2005-0256
2005,2005-0393
1977,1977-0129
2002,2002-0806
1985,1985-0081
2000,2000-0577
1978,1978-0145
2007,2007-0136
1988,1988-0102
2002,2002-0670
2003,2003-0233
2010,2010-0293
1990,1990-0639
1970,1970-0047
1986,1986-0031
2005,2005-0165
1993,1993-0304
1997,1997-0251
1970,1970-0053
1972,1972-0031
1987,1987-0111
1987,1987-0583
2000,2000-0317
2005,2005-0382
1982,1982-0062
2005,2005-0044
1979,1979-0092
2002,2002-0536
2014,2014-0413
2004,2004-0149
2006,2006-0024
1986,1986-0029
2011,2011-0317
1972,1972-0036
1986,1986-0217
1976,1976-0022
1981,1981-0030
1981,1981-0037
1989,1989-0559
1999,1999-0061
1978,1978-0184
2000,2000-0345
1988,1988-0336
1994,1994-0183
1998,1998-0356
1999,1999-0293
1988,1988-0659
2000,2000-0501
2003,2003-0389
2008,2008-0296
2014,2014-0289
1988,1988-0334
2000,2000-0364
2002,2002-0238
1988,1988-0658
2004,2004-0413
2002,2002-0826
2004,2004-0312
1977,1977-0066
1964,1964-0056
1988,1988-0660
1973,1973-0033
1977,1977-0072
1984,1984-0067
1988,1988-0332
1991,1991-0770
2005,2005-0044
2006,2006-0663
2008,2008-0508
1989,1989-0398
2015,2015-0113
1970,1970-0081
1986,1986-0119
2000,2000-0627
2003,2003-0768
2006,2006-0640
2012,2012-0499
1992,1992-0123
2005,2005-0169
1989,1989-0396
2013,2013-0028
2014,2014-0405
1965,1965-0033
1971,1971-0007
1982,1982-0066
1990,1990-0422
1995,1995-0106
1997,1997-0299
2014,2014-0188
1970,1970-0002
1980,1980-0039
1986,1986-0027
1994,1994-0301
2002,2002-0429
2011,2011-0064
2014,2014-0529
1993,1993-0516
1972,1972-0042
1974,1974-0039
1977,1977-0097
1977,1977-0096
1980,1980-0010
1981,1981-0060
1982,1982-0193
1988,1988-0480
1989,1989-0272
1994,1994-0644
1992,1992-0057
1992,1992-0493
1993,1993-0298
1995,1995-0486
1995,1995-0209
1999,1999-0608
2001,2001-0319
1995,1995-0440
2006,2006-0448
1982,1982-0003
2005,2005-0045
1979,1979-0001
1987,1987-0060
1975,1975-0035
2000,2000-0028
2000,2000-0167
2005,2005-0045
2006,2006-0127
1992,1992-0282
1999,1999-0399
2000,2000-0394
2000,2000-0354
2005,2005-0045
2005,2005-0511
2005,2005-0229
1985,1985-0127
1988,1988-0345
1993,1993-0513
1998,1998-0358
1996,1996-0316
1999,1999-0303
2007,2007-0487
1992,1992-0506
1981,1981-0034
1987,1987-0093
1977,1977-0017
1996,1996-0322
1988,1988-0074
1994,1994-0304
2012,2012-0006
2013,2013-0453
1971,1971-0046
1972,1972-0060
2015,2015-0079
1978,1978-0129
1984,1984-0418
1986,1986-0178
1994,1994-0300
1994,1994-0315
2001,2001-0049
2001,2001-0344
1975,1975-0051
1978,1978-0084
1997,1997-0268
2006,2006-0422
2000,2000-0096
1977,1977-0209
1982,1982-0084
1986,1986-0094
1996,1996-0279
1987,1987-0316
1974,1974-0014
1977,1977-0112
2007,2007-0661
2006,2006-0068
1964,1964-0026
1968,1968-0034
1974,1974-0023
1979,1979-0059
1988,1988-0146
1983,1983-0105
1991,1991-0530
1999,1999-0081
1999,1999-0353
2001,2001-0308
2002,2002-0641
2014,2014-0493
2007,2007-0676
2006,2006-0351
2009,2009-0243
1966,1966-0022
1987,1987-0064
1990,1990-0006
2005,2005-0102
2007,2007-0664
2004,2004-0455
2008,2008-0378
2008,2008-0384
2001,2001-0277
2001,2001-0682
2004,2004-0540
1963,1963-0082
1964,1964-0012
1964,1964-0067
1968,1968-0014
1973,1973-0006
1973,1973-0020
1979,1979-0034
1982,1982-0020
1982,1982-0380
1983,1983-0036
1983,1983-0476
1984,1984-0377
1984,1984-0375
1984,1984-0386
1985,1985-0013
1985,1985-0157
1986,1986-0237
1992,1992-0209
1992,1992-0276
1993,1993-0099
1994,1994-0152
1995,1995-0403
1997,1997-0341
1997,1997-0360
2000,2000-0232
2001,2001-0771
2001,2001-0772
2002,2002-0017
2002,2002-0128
2006,2006-0413
2007,2007-0383
2001,2001-0236
2003,2003-0769
1985,1985-0138
2000,2000-0650
1978,1978-0105
1980,1980-0106
1991,1991-0229
2000,2000-0408
2002,2002-0580
2002,2002-0725
2011,2011-0394
2013,2013-0333
1995,1995-0208
1999,1999-0557
2003,2003-0566
2006,2006-0673
2011,2011-0517
2011,2011-0516
1978,1978-0028
2001,2001-0091
2005,2005-0815
2013,2013-0377
2014,2014-0426
2013,2013-0025
2014,2014-0514
2008,2008-0488
1991,1991-0170
1994,1994-0754
2011,2011-0042
1984,1984-0356
1994,1994-0172
1970,1970-0044
1985,1985-0116
1988,1988-0400
1995,1995-0224
1998,1998-0329
2007,2007-0477
1967,1967-0070
1969,1969-0096
1974,1974-0010
1980,1980-0004
1982,1982-0032
1984,1984-0007
1987,1987-0053
2012,2012-0051
2013,2013-0544
1973,1973-0016
2014,2014-0532
2001,2001-0783
2005,2005-0045
1988,1988-0067
2009,2009-0092
1964,1964-0005
1977,1977-0061
1979,1979-0003
1980,1980-0008
1980,1980-0031
1982,1982-0071
1983,1983-0001
1984,1984-0032
1984,1984-0168
1984,1984-0049
1984,1984-0050
1984,1984-0114
1985,1985-0050
1985,1985-0136
1986,1986-0049
1994,1994-0305
1998,1998-0081
1999,1999-0082
2003,2003-0673
1994,1994-0503
2005,2005-0045
1999,1999-0295
2008,2008-0379
1999,1999-0135
2002,2002-0842
2006,2006-0318
2006,2006-0701
2010,2010-0009
2010,2010-0122
2008,2008-0363
1974,1974-0134
1974,1974-0133
1975,1975-0020
1976,1976-0149
1979,1979-0195
2004,2004-0031
2001,2001-0632
2002,2002-0171
2009,2009-0628
2002,2002-0626
2004,2004-0462
2008,2008-0514
1996,1996-0233
1999,1999-0306
2001,2001-0097
2007,2007-0455
2012,2012-0161
1974,1974-0027
1976,1976-0031
1984,1984-0058
1980,1980-0331
1980,1980-0050
1980,1980-0056
1981,1981-0071
1981,1981-0088
1982,1982-0308
1982,1982-0310
1982,1982-0088
1983,1983-0313
1983,1983-0063
2005,2005-0151
1984,1984-0213
1985,1985-0051
1985,1985-0058
1985,1985-0065
1985,1985-0091
1985,1985-0088
1985,1985-0310
1986,1986-0213
1986,1986-0047
1986,1986-0229
1986,1986-0077
1986,1986-0086
1988,1988-0148
1988,1988-0240
1988,1988-0401
1988,1988-0402
1989,1989-0039
1989,1989-0455
1990,1990-0699
1992,1992-0254
1992,1992-0036
1993,1993-0247
1993,1993-0248
1994,1994-0789
1994,1994-0780
2006,2006-0023
1996,1996-0122
1996,1996-0169
1999,1999-0130
1999,1999-0626
2011,2011-0092
2001,2001-0475
2002,2002-0278
2002,2002-0481
2005,2005-0307
2005,2005-0413
2006,2006-0340
2007,2007-0387
2007,2007-0401
2009,2009-0227
2010,2010-0344
2011,2011-0202
2012,2012-0200
2012,2012-0282
2014,2014-0180
2014,2014-0389
1969,1969-0110
1971,1971-0018
1984,1984-0099
1986,1986-0078
1988,1988-0373
1994,1994-0005
1994,1994-0091
1996,1996-0114
2000,2000-0098
2001,2001-0712
2003,2003-0578
2011,2011-0132
1994,1994-0757
1999,1999-0442
1969,1969-0103
1988,1988-0001
2004,2004-0556
1989,1989-0147
1996,1996-0135
2005,2005-0747
1983,1983-0042
1986,1986-0402
1988,1988-0248
1988,1988-0705
2003,2003-0766
2005,2005-0045
1977,1977-0120
1978,1978-0029
1974,1974-0011
2011,2011-0199
1965,1965-0018
1970,1970-0062
1971,1971-0040
1987,1987-0310
1997,1997-0526
2013,2013-0372
2011,2011-0386
1981,1981-0117
1979,1979-0044
1985,1985-0153
1988,1988-0341
1999,1999-0352
1999,1999-0609
2001,2001-0464
2001,2001-0769
2006,2006-0442
1978,1978-0010
1983,1983-0103
1999,1999-0643
2000,2000-0357
1983,1983-0043
1983,1983-0071
2010,2010-0044
1988,1988-0493
2010,2010-0698
2012,2012-0219
1999,1999-0286
2001,2001-0107
2006,2006-0124
1985,1985-0113
1968,1968-0053
1999,1999-0315
1987,1987-0339
1986,1986-0137
1992,1992-0344
1987,1987-0078
2004,2004-0312
1981,1981-0124
2007,2007-0515
1990,1990-0638
2003,2003-0523
1971,1971-0041
1996,1996-0120
1996,1996-0025
1993,1993-0496
2005,2005-0567
2005,2005-0586
2012,2012-0237
1993,1993-0497
1994,1994-0378
2002,2002-0013
1960,1960-0040
1960,1960-0042
1961,1961-0030
2000,2000-0607
1962,1962-0015
1965,1965-0085
1968,1968-0067
2001,2001-0401
1970,1970-0097
1970,1970-0099
1971,1971-0049
1973,1973-0103
1975,1975-0109
1975,1975-0110
1988,1988-0235
2002,2002-0848
1976,1976-0137
1976,1976-0141
1977,1977-0196
1977,1977-0198
2006,2006-0242
1978,1978-0213
1978,1978-0221
1979,1979-0074
1980,1980-0220
1981,1981-0199
1982,1982-0277
1970,1970-0109
1982,1982-0278
1983,1983-0121
1985,1985-0216
1985,1985-0220
1985,1985-0222
1986,1986-0198
1986,1986-0200
1987,1987-0288
1973,1973-0051
1987,1987-0293
1988,1988-0647
1989,1989-0283
1989,1989-0285
1992,1992-0196
1974,1974-0096
2005,2005-0045
1975,1975-0130
1964,1964-0038
1964,1964-0055
1966,1966-0046
1968,1968-0055
1976,1976-0163
1975,1975-0037
1977,1977-0094
1977,1977-0121
1978,1978-0056
1976,1976-0164
1978,1978-0111
1979,1979-0093
1979,1979-0100
1980,1980-0062
1980,1980-0057
1980,1980-0074
1998,1998-0054
1976,1976-0067
1980,1980-0085
1983,1983-0061
1983,1983-0076
1983,1983-0089
1983,1983-0153
1976,1976-0165
1984,1984-0323
1985,1985-0068
1985,1985-0067
1985,1985-0317
1986,1986-0085
1987,1987-0341
1977,1977-0223
1987,1987-0386
1987,1987-0137
1988,1988-0244
1988,1988-0703
1989,1989-0260
1993,1993-0570
1977,1977-0224
1994,1994-0068
1997,1997-0348
1997,1997-0182
1997,1997-0260
1998,1998-0392
1999,1999-0371
2000,2000-0444
2001,2001-0349
2001,2001-0502
2001,2001-0465
1977,1977-0226
2001,2001-0584
2006,2006-0265
2006,2006-0443
2009,2009-0409
2012,2012-0322
2014,2014-0343
1967,1967-0007
1967,1967-0038
1968,1968-0038
1973,1973-0028
1974,1974-0002
1977,1977-0014
1977,1977-0043
1978,1978-0014
1978,1978-0064
1979,1979-0046
1978,1978-0198
1979,1979-0057
1981,1981-0235
1982,1982-0242
1982,1982-0033
1983,1983-0090
1983,1983-0126
1983,1983-0154
1985,1985-0025
1987,1987-0087
1987,1987-0589
1996,1996-0495
2003,2003-0016
2007,2007-0283
2008,2008-0618
1978,1978-0199
1980,1980-0032
1980,1980-0058
1994,1994-0360
1999,1999-0575
1968,1968-0046
2000,2000-0679
1973,1973-0041
1977,1977-0063
1987,1987-0324
2001,2001-0016
2006,2006-0124
1979,1979-0242
1968,1968-0125
1978,1978-0075
1989,1989-0161
1995,1995-0146
2001,2001-0350
2006,2006-0616
2009,2009-0316
1980,1980-0286
2004,2004-0194
2013,2013-0545
1980,1980-0289
1993,1993-0164
2004,2004-0381
2006,2006-0142
1980,1980-0287
1991,1991-0761
1995,1995-0229
2000,2000-0583
2001,2001-0782
2002,2002-0614
1987,1987-0163
2001,2001-0691
2008,2008-0037
2008,2008-0361
2009,2009-0243
1980,1980-0291
1995,1995-0418
2006,2006-0460
1968,1968-0001
1975,1975-0013
1981,1981-0184
1998,1998-0086
1969,1969-0002
1995,1995-0010
2000,2000-0118
2001,2001-0025
2011,2011-0092
1981,1981-0263
2012,2012-0005
2013,2013-0011
2014,2014-0514
1967,1967-0002
1978,1978-0139
1988,1988-0342
1981,1981-0187
1998,1998-0563
2009,2009-0523
1981,1981-0193
1985,1985-0394
1982,1982-0255
1999,1999-0348
1979,1979-0022
1982,1982-0139
1973,1973-0034
1979,1979-0072
1982,1982-0096
1983,1983-0457
1984,1984-0117
1986,1986-0233
2007,2007-0435
2002,2002-0126
2002,2002-0397
2003,2003-0577
2004,2004-0150
2008,2008-0583
2015,2015-0105
2002,2002-0381
1963,1963-0036
1977,1977-0016
1977,1977-0040
1978,1978-0040
1985,1985-0028
1989,1989-0168
2009,2009-0092
2012,2012-0056
2014,2014-0514
1976,1976-0156
2016,2016-0135
2018,2018-0350
2016,2016-0257
2016,2016-0256
2016,2016-0371
2016,2016-0373
2016,2016-0376
2016,2016-0342
2016,2016-0389
2016,2016-0340
2017,2017-0110
2017,2017-0143
2017,2017-0214
2017,2017-0169
2017,2017-0187
2017,2017-0245
2017,2017-0254
2017,2017-0284
2017,2017-0286
2017,2017-0281
2017,2017-0287
2017,2017-0261
2017,2017-0264
2017,2017-0476
2018,2018-0082
2017,2017-0485
2017,2017-0326
2018,2018-0118
2018,2018-0210
2018,2018-0201
2018,2018-0198
2018,2018-0341
2016,2016-0533
2016,2016-0522
2016,2016-0247
2017,2017-0410
2017,2017-0215
2018,2018-0131
2018,2018-0396
2017,2017-0391
2018,2018-0005
2018,2018-0374
2018,2018-0170
2017,2017-0341
2017,2017-0184
2018,2018-0185
2016,2016-0355
2016,2016-0184
2017,2017-0137
2017,2017-0109
2017,2017-0383
2016,2016-0032
2016,2016-0359
2017,2017-0410
2018,2018-0374
2018,2018-0104
2016,2016-0141
2018,2018-0101
2017,2017-0086
2017,2017-0320
2018,2018-0037
2016,2016-0112
2018,2018-0397
2017,2017-0049
2018,2018-0244
2017,2017-0565
2017,2017-0381
2016,2016-0212
2017,2017-0083
2016,2016-0284
2017,2017-0449
2017,2017-0410
2018,2018-0374
2017,2017-0304
2016,2016-0127
2016,2016-0356
2016,2016-0284
2018,2018-0374
2017,2017-0352
2016,2016-0461
2016,2016-0139
2017,2017-0195
2016,2016-0237
2016,2016-0391
2018,2018-0074
2017,2017-0152
2017,2017-0257
2018,2018-0038
2018,2018-0137
2018,2018-0138
2018,2018-0150
2018,2018-0149
2018,2018-0213
2018,2018-0214
2018,2018-0209
2018,2018-0199
2018,2018-0205
2018,2018-0202
2018,2018-0286
2018,2018-0267
2018,2018-0370
2016,2016-0201
2018,2018-0372
2016,2016-0425
2016,2016-0428
2017,2017-0515
2017,2017-0059
2017,2017-0147
2017,2017-0096
2017,2017-0472
2018,2018-0383
2018,2018-0123
2017,2017-0490
2018,2018-0002
2018,2018-0128
2016,2016-0453
2018,2018-0308
2016,2016-0355
2017,2017-0137
2016,2016-0361
2016,2016-0221
2016,2016-0382
2016,2016-0390
2016,2016-0324
2017,2017-0432
2018,2018-0190
2018,2018-0353
2018,2018-0326
2017,2017-0220
2016,2016-0161
2017,2017-0205
2016,2016-0355
2018,2018-0116
2018,2018-0132
2016,2016-0321
2018,2018-0329
2017,2017-0381
2016,2016-0316
2017,2017-0281
2018,2018-0305
2018,2018-0047
2016,2016-0301
2017,2017-0352
2016,2016-0309
2016,2016-0282
2017,2017-0123
2016,2016-0489
2016,2016-0057
2017,2017-0224
2017,2017-0477
2016,2016-0272
2018,2018-0029
2016,2016-0532
2016,2016-0284
2016,2016-0332
2016,2016-0333
2016,2016-0319
2017,2017-0376
2017,2017-0334
2018,2018-0421
2016,2016-0248
2016,2016-0529
2016,2016-0546
2018,2018-0048
2016,2016-0369
2016,2016-0138
2016,2016-0189
2016,2016-0232
2018,2018-0203
2018,2018-0255
2017,2017-0106
2016,2016-0211
2016,2016-0096
2016,2016-0433
2018,2018-0374
2016,2016-0269
2017,2017-0186
2017,2017-0370
2018,2018-0232
2016,2016-0336
2018,2018-0365
2018,2018-0399
2016,2016-0120
2018,2018-0394
2016,2016-0553
2016,2016-0270
2016,2016-0375
2017,2017-0145
2017,2017-0410
2018,2018-0066
2018,2018-0442
2017,2017-0381
2016,2016-0054
2016,2016-0363
2016,2016-0364
2016,2016-0456
2016,2016-0503
2018,2018-0097
2016,2016-0371
2016,2016-0256
2016,2016-0445
2016,2016-0377
2016,2016-0342
2017,2017-0525
2017,2017-0226
2017,2017-0142
2017,2017-0485
2017,2017-0406
2018,2018-0004
2018,2018-0051
2018,2018-0399
2018,2018-0044
2018,2018-0225
2018,2018-0341
2018,2018-0025
2017,2017-0383
2017,2017-0381
2018,2018-0247
2016,2016-0128
2016,2016-0227
2016,2016-0284
2017,2017-0151
2018,2018-0029
2016,2016-0355
2016,2016-0494
2016,2016-0355
2016,2016-0481
2016,2016-0105
2016,2016-0120
2017,2017-0491
2018,2018-0246
2016,2016-0129
2016,2016-0478
2018,2018-0062
2016,2016-0153
2017,2017-0508
2017,2017-0493
2017,2017-0153
2018,2018-0384
2018,2018-0278
2016,2016-0274
2018,2018-0292
2018,2018-0387
2018,2018-0103
2017,2017-0326
2018,2018-0313
2016,2016-0028
2017,2017-0205
2016,2016-0360
2016,2016-0472
2016,2016-0378
2017,2017-0006
2017,2017-0465
2017,2017-0516
2017,2017-0406
2017,2017-0481
2016,2016-0004
2016,2016-0041
2016,2016-0141
2018,2018-0042
2018,2018-0395
2018,2018-0364
2017,2017-0566
2017,2017-0381
2017,2017-0395
2016,2016-0427
2018,2018-0248
2018,2018-0040
2016,2016-0010
2016,2016-0355
2016,2016-0477
2016,2016-0521
2016,2016-0051
2018,2018-0112
2016,2016-0086
2016,2016-0087
2016,2016-0085
2016,2016-0550
2016,2016-0125
2016,2016-0170
2016,2016-0181
2018,2018-0220
2016,2016-0183
2016,2016-0150
2016,2016-0203
2016,2016-0322
2017,2017-0022
2017,2017-0039
2017,2017-0542
2017,2017-0058
2017,2017-0070
2017,2017-0108
2017,2017-0203
2018,2018-0046
2018,2018-0373
2018,2018-0111
2018,2018-0065
2018,2018-0279
2018,2018-0342
2016,2016-0115
2017,2017-0195
2017,2017-0231
2016,2016-0522
2018,2018-0290
2018,2018-0386
2016,2016-0362
2016,2016-0497
2016,2016-0268
2016,2016-0573
2016,2016-0379
2017,2017-0428
2017,2017-0492
2017,2017-0422
2017,2017-0367
2017,2017-0270
2017,2017-0406
2018,2018-0204
2018,2018-0227
2018,2018-0305
2017,2017-0381
2017,2017-0381
2017,2017-0365
2017,2017-0384
2017,2017-0055
2016,2016-0038
2016,2016-0363
2016,2016-0364
2016,2016-0095
2016,2016-0137
2016,2016-0140
2016,2016-0194
2016,2016-0198
2016,2016-0236
2016,2016-0230
2016,2016-0238
2016,2016-0209
2016,2016-0241
2016,2016-0233
2012,2012-0485
1982,1982-0247
1992,1992-0504
2013,2013-0528
2014,2014-0009
2018,2018-0195
2004,2004-0361
2000,2000-0423
2002,2002-0495
2004,2004-0331
2010,2010-0294
2013,2013-0407
1994,1994-0616
1997,1997-0003
1997,1997-0355
1997,1997-0343
2005,2005-0339
2008,2008-0073
2008,2008-0020
2011,2011-0002
2012,2012-0559
2013,2013-0582
2003,2003-0785
2012,2012-0019
2000,2000-0398
2007,2007-0235
2017,2017-0033
2003,2003-0391
2005,2005-0713
2010,2010-0615
2012,2012-0485
1972,1972-0014
2000,2000-0092
2006,2006-0709
2006,2005-0713
2012,2012-0019
2009,2008-0633
2010,2010-0615
2000,2000-0421
2003,2003-0391
2005,2005-0655
2006,2005-0713
2009,2008-0633
2012,2012-0019
2012,2012-0485
2002,2002-0494
2017,2017-0010
2001,2001-0753
2006,2006-0709
2011,2011-0513
2014,2014-0528
2001,2001-0686
2005,2005-0713
2007,2007-0235
2008,2008-0007
2012,2012-0019
1973,1973-0009
1973,1973-0054
1979,1979-0045
1979,1979-0061
1980,1980-0012
1980,1980-0357
1985,1985-0141
1985,1985-0069
1987,1987-0104
2010,2010-0294
1988,1988-0190
1989,1989-0235
1990,1990-0632
1990,1990-0423
1992,1992-0500
1994,1994-0624
1995,1995-0112
1998,1998-0217
1998,1998-0455
2013,2013-0568
1999,1999-0125
2000,2000-0020
2000,2000-0223
2001,2001-0011
2001,2001-0681
2002,2002-0818
2002,2002-0290
2003,2003-0250
2003,2003-0636
2005,2005-0323
2005,2005-0701
2006,2006-0237
2007,2007-0207
2007,2007-0674
2007,2007-0687
2008,2008-0616
2009,2009-0175
2010,2010-0206
1994,1994-0641
2011,2011-0643
2012,2012-0538
2014,2014-0047
2014,2014-0523
2015,2015-0189
2016,2016-0133
2017,2017-0144
1994,1994-0645
2018,2018-0049
2000,2000-0473
1998,1998-0204
2005,2005-0713
2007,2007-0235
1995,1995-0443
2004,2004-0352
2007,2007-0358
2010,2010-0331
2011,2011-0573
2009,2009-0616
2014,2014-0578
2015,2015-0575
2016,2016-0023
2000,2000-0471
2014,2014-0010
2000,2000-0676
2012,2012-0609
2001,2001-0713
2003,2003-0022
2001,2001-0668
2003,2003-0391
2001,2001-0714
2010,2010-0615
2012,2012-0019
2012,2012-0485
2003,2003-0391
2005,2005-0713
2001,2001-0692
2004,2004-0333
2007,2007-0235
2012,2012-0019
2014,2014-0496
2017,2017-0010
2007,2007-0235
1995,1995-0364
1997,1997-0062
1997,1997-0290
1998,1998-0453
1999,1999-0004
2000,2000-0827
2002,2002-0805
2003,2003-0622
2009,2009-0571
2004,2004-0601
2006,2006-0709
2011,2011-0105
2006,2005-0713
2012,2012-0019
2018,2018-0073
2012,2012-0019
2017,2017-0032
1987,1987-0298
2003,2003-0636
2013,2012-0509
2003,2003-0391
2005,2005-0655
2006,2006-0383
2012,2012-0019
2001,2001-0779
2002,2002-0354
1979,1979-0062
1996,1996-0153
2000,2000-0351
2002,2002-0284
2002,2002-0834
2003,2003-0250
2005,2005-0347
2006,2006-0254
2015,2015-0232
2000,2000-0486
2004,2004-0331
2010,2010-0294
1983,1983-0011
2003,2003-0339
2004,2004-0331
2007,2007-0263
2009,2009-0301
2010,2010-0343
2011,2011-0201
2012,2012-0256
2013,2013-0357
2014,2014-0547
2015,2015-0315
2000,2000-0830
2001,2001-0661
2001,2001-0027
2002,2002-0754
2005,2005-0713
2008,2008-0633
2009,2009-0571
2010,2010-0615
2011,2011-0628
2012,2012-0019
2012,2012-0413
2012,2012-0485
2013,2013-0165
2014,2014-0030
2015,2015-0577
2016,2016-0001
2003,2003-0391
2005,2005-0820
2006,2006-0383
2009,2008-0633
2010,2010-0615
1998,1998-0408
2000,2000-0380
2001,2001-0663
2002,2002-0767
2004,2004-0333
2005,2005-0756
2006,2005-0713
2006,2006-0348
2007,2007-0235
2007,2007-0673
2009,2008-0633
2009,2009-0571
2010,2010-0050
2012,2012-0019
2014,2014-0030
1997,1997-0316
1993,1993-0245
1994,1994-0309
1995,1995-0363
1995,1995-0359
1997,1997-0291
1999,1999-0068
1999,1999-0627
2000,2000-0165
2000,2000-0277
2000,2000-0705
2001,2001-0404
2002,2002-0639
2010,2010-0372
2010,2010-0050
2010,2010-0615
2012,2012-0019
2000,2000-0003
2012,2012-0485
2007,2007-0235
2012,2012-0485
2017,2017-0010
2006,2005-0713
2003,2003-0391
2005,2005-0713
2007,2007-0235
2010,2010-0615
2003,2003-0391
2014,2014-0046
1996,1996-0363
2002,2002-0819
2007,2007-0213
1995,1995-0353
1995,1995-0157
2003,2003-0391
2004,2004-0361
2005,2005-0713
2006,2006-0383
2003,2003-0636
2015,2015-0393
2005,2005-0713
2001,2001-0673
2003,2003-0391
2005,2005-0713
2010,2010-0615
2012,2012-0485
2012,2012-0019
2005,2005-0757
2003,2003-0250
2008,2008-0050
2012,2012-0050
2014,2014-0089
2016,2016-0023
1987,1987-0382
2000,2000-0381
2005,2005-0323
2005,2005-0713
2007,2007-0235
2000,2000-0337
2006,2005-0713
2009,2008-0633
2009,2009-0571
2012,2012-0019
2012,2012-0485
2016,2016-0001
2003,2003-0391
2013,2013-0549
1966,1966-0055
1966,1966-0056
1972,1972-0045
1973,1973-0036
1980,1980-0063
1986,1986-0249
1990,1990-0373
1990,1990-0254
1993,1993-0432
1995,1995-0150
1995,1995-0288
1998,1998-0212
1999,1999-0246
2000,2000-0433
2001,2001-0770
2002,2002-0355
2004,2004-0740
2005,2005-0687
2006,2006-0427
2008,2008-0563
2009,2009-0056
2011,2011-0264
2012,2012-0214
2013,2013-0528
2014,2014-0009
