Gas,Year,Data
CO[2],1940,19729.89108133334
CO[2],1941,20254.60518266663
CO[2],1942,20292.782016
CO[2],1943,20486.03955533337
CO[2],1944,20633.32530466663
CO[2],1945,18850.22944
CO[2],1946,19594.880321333338
CO[2],1947,20490.086775999996
CO[2],1948,20938.892258
CO[2],1949,20477.14903866663
CO[2],1950,22839.94638466663
CO[2],1951,23940.23243266663
CO[2],1952,24360.630170666627
CO[2],1953,24939.703758
CO[2],1954,25567.94196533337
CO[2],1955,27237.211686666633
CO[2],1956,28609.13907333337
CO[2],1957,29515.15107
CO[2],1958,30363.99859866663
CO[2],1959,31941.86235333337
CO[2],1960,31909.128814
CO[2],1961,31044.83758533337
CO[2],1962,31277.965129999997
CO[2],1963,31839.414296000003
CO[2],1964,32599.97696333337
CO[2],1965,32756.340004
CO[2],1966,33414.54188533337
CO[2],1967,34322.23152533337
CO[2],1968,35762.8241
CO[2],1969,36854.079148000004
CO[2],1970,38978.67954333337
CO[2],1971,40165.66416
CO[2],1972,41622.294882
CO[2],1973,43049.179690000004
CO[2],1974,42658.264236
CO[2],1975,42828.62297
CO[2],1976,44571.561478666634
CO[2],1977,45799.01445466663
CO[2],1978,46581.60438133337
CO[2],1979,47332.69061333337
CO[2],1980,47151.13566133337
CO[2],1981,46834.054692000005
CO[2],1982,46564.79685466662
CO[2],1983,47602.258226
CO[2],1984,49917.786118
CO[2],1985,50780.402028
CO[2],1986,51458.114266000004
CO[2],1987,52740.470124
CO[2],1988,54299.72649266663
CO[2],1989,54527.027284666634
CO[2],1990,55237.96915133337
CO[2],1991,55976.84628466663
CO[2],1992,54912.48223866663
CO[2],1993,55343.43958333337
CO[2],1994,56498.652974000004
CO[2],1995,57456.65121933338
CO[2],1996,58852.655928
CO[2],1997,62778.40138266663
CO[2],1998,59367.46231866663
CO[2],1999,60401.40520466663
CO[2],2000,61098.41791533337
CO[2],2001,60777.26124466663
CO[2],2002,62877.34908333337
CO[2],2003,66562.39785933337
CO[2],2004,67951.08261066664
CO[2],2005,68622.10074066663
CO[2],2006,71288.23743266663
CO[2],2007,71839.18148266664
CO[2],2008,73408.71646266663
CO[2],2009,73145.61221600001
CO[2],2010,76356.48330266663
CO[2],2011,78851.24495066665
CO[2],2012,79617.764116
CO[2],2013,79843.56833733336
CO[2],2014,80944.11675666663
CO[2],2015,81839.16359666662
CO[2],2016,80051.32090666663
CO[2],2017,80802.02644933337
CO[2],2018,81961.90310466664
CO[2],2019,83229.05214933337
CO[2],2020,78589.96825533337
CO[2],2021,82236.27856199999
N[2]*O,1830,198.71320542451232
N[2]*O,1831,201.35447164217604
N[2]*O,1832,204.30924265248314
N[2]*O,1833,207.24747007533688
N[2]*O,1834,209.86413226067344
N[2]*O,1835,213.00858284928876
N[2]*O,1836,215.9814354571845
N[2]*O,1837,218.95627937381727
